HP Tuners CSV Log File
Version: 1.0

[Log Information]
Creation Time: 5/4/2022 7:52:11 PM
Notes: 

[Location Information]

[Driver Information]

[Vehicle Information]

[Channel Information]
0,12,9,8,7,6,3,20,68,24,11,16,14,2301,73,17,69,76,6200,2321,67,6512,2630,36,10,13,2128,66,15,47,82,5,51,70
Offset,Engine RPM (SAE),Long Term Fuel Trim Bank 2 (SAE),Short Term Fuel Trim Bank 2 (SAE),Long Term Fuel Trim Bank 1 (SAE),Short Term Fuel Trim Bank 1 (SAE),Fuel System #1 Status (SAE),O2 Voltage B1S1 (SAE),Equivalence Ratio Commanded (SAE),O2 Voltage B2S1 (SAE),Intake Manifold Absolute Pressure (SAE),Mass Airflow (SAE),Timing Advance (SAE),Mass Airflow Sensor,Accelerator Position D (SAE),Throttle Position (SAE),Relative Throttle Position (SAE),Commanded Throttle Actuator (SAE),Injector Pulse Width Avg. Bank 1,Cylinder Airmass,Absolute Load (SAE),Inj Delta Pressure,Knock Retard,WB EQ Ratio 1 (SAE),Fuel Pressure (SAE),Vehicle Speed (SAE),Intake Air Temp 2,Control Module Voltage (SAE),Intake Air Temp (SAE),Fuel Level Input (SAE),Ethanol Fuel % (SAE),Engine Coolant Temp (SAE),Barometric Pressure (SAE),Ambient Air Temp (SAE)
s,rpm,%,%,%,%,,V,λ,V,psi,lb/min,°,Hz,%,%,%,%,ms,g,%,psi,°,λ,psi,mph,°F,V,°F,%,%,°F,psi,°F

[Channel Data]
0.171,660.25,24.21875,11.71875,24.21875,10.15625,CL - Normal,0.8527539063,1,0.8627929688,6.0915852437,0.6031847493,17,1455,20.7843137255,17.2549019608,5.4901960784,7.4509803922,0.5859551068,0.10775,10.9803921569,66.8623999366,0,1.9999694824,57.8701201783,0,129.2,13.571,95,27.0588235294,0,197.6,14.5037743897,32
0.194,662.3509615385,24.21875,11.71875,24.21875,10.15625,CL - Normal,0.8571769832,1,0.8627929688,6.0915852437,0.5855861096,17,1435.25,20.7843137255,17.2549019608,5.4901960784,7.4509803922,0.5784428619,0.10703125,10.9230033477,66.841174901,0,1.9350944519,57.8701201783,0,129.2,13.5691707317,95,27.0588235294,0,197.6,14.5037743897,32
0.223,665,24.21875,11.71875,24.21875,10.15625,CL - Normal,0.8627539063,1,0.8627929688,6.0915852437,0.5555649007,17,1376,20.7843137255,17.2549019608,5.4901960784,7.4509803922,0.555906127,0.104875,10.1960784314,66.5723244489,0,1.79037323,57.8701201783,0,129.2,13.546,95,27.0588235294,0,197.6,14.5037743897,32
0.257,654.5,24.21875,11.71875,24.21875,10.15625,CL - Normal,0.8677539063,1,0.8627929688,6.0915852437,0.5621787686,17,1388,20.7843137255,17.2549019608,5.4901960784,7.4509803922,0.5408816371,0.103,10.5882352941,66.427286705,0,1.6207000732,57.7444206691,0,129.2,13.521,95,27.0588235294,0,197.6,14.5037743897,32
0.282,654.75,24.21875,11.71875,24.21875,10.15625,CL - Normal,0.8727539063,1,0.8627929688,6.0915852437,0.5746248654,17,1401.6363636364,20.7843137255,17.2549019608,5.4901960784,7.4509803922,0.5408816371,0.103,10.6417112299,66.4075088308,0,1.4959403992,57.4350064927,0,129.2,13.5244090909,95,27.0588235294,0,197.6,14.5037743897,32
0.308,654.40625,24.21875,11.71875,24.21875,10.15625,CL - Normal,0.8721289063,1,0.8627929688,6.0915852437,0.5926025608,18,1438,20.7843137255,17.2549019608,5.4901960784,7.4509803922,0.5408816371,0.103,10.9803921569,66.2822489611,0,1.3661903381,57.8107864939,0,129.2,13.546,95,27.0588235294,0,197.6,14.5037743897,32
0.333,652,24.21875,11.71875,24.21875,10.15625,CL - Normal,0.8677539063,1,0.8577929688,6.0915852437,0.5806975986,18.0795454545,1429.1627906977,20.7843137255,17.2549019608,5.4901960784,7.4509803922,0.5408816371,0.1027790698,10.9803921569,66.4576434421,0,1.2414306641,58.3052338638,0,129.2,13.546,95,27.0588235294,0,197.6,14.5037743897,32
0.357,649.7444444444,24.21875,11.71875,24.21875,10.15625,CL - Normal,0.8693094618,1,0.8577929688,6.0915852437,0.5790514804,18.5,1418,20.7843137255,17.2549019608,5.4901960784,7.4509803922,0.5408816371,0.1025,10.9803921569,66.8623999366,0,1.121661377,58.3052338638,0,129.2,13.546,95,27.0588235294,0,197.6,14.5037743897,32
0.381,644.75,24.21875,11.71875,24.21875,10.15625,CL - Normal,0.8727539063,1,0.8577929688,6.0915852437,0.5714381836,18.75,1369,20.7843137255,17.2549019608,5.4901960784,7.4509803922,0.5258571471,0.1015,10.6666666667,66.7463697415,0,1.0018920898,58.1568996528,0,129.2,13.556,95,27.0588235294,0,197.6,14.5037743897,32
0.408,645.1847826087,24.21875,11.71875,24.21875,10.15625,CL - Normal,0.8727539063,1,0.8577929688,6.0915852437,0.5680711236,19.5,1373.7272727273,20.7843137255,17.2549019608,5.4901960784,7.4509803922,0.5285888726,0.1014318182,10.1960784314,66.5723244489,0,1.0018920898,56.9998928072,0,129.2,13.571,95,27.0588235294,0,197.6,14.5037743897,32
0.434,645.75,24.21875,11.71875,24.21875,10.15625,CL - Normal,0.8727539063,1,0.8577929688,6.0915852437,0.560855995,19.0454545455,1395,20.7843137255,17.2549019608,5.4901960784,7.4509803922,0.5408816371,0.101125,10.5882352941,66.1372112172,0,1.0018920898,57.2767833343,0,129.2,13.546,95,27.0588235294,0,197.6,14.5037743897,32
0.458,631.75,24.21875,11.71875,24.21875,10.15625,CL - Normal,0.8777539063,1,0.8555202415,6.0915852437,0.5800963379,18.5,1414.4090909091,20.7843137255,17.2549019608,5.4901960784,7.4509803922,0.5408816371,0.1014431818,10.944741533,66.1289704363,0,1.0018920898,57.8701201783,0,129.2,13.5323636364,95,27.0588235294,0,197.6,14.5037743897,32
0.482,630.9318181818,24.21875,11.71875,24.21875,10.15625,CL - Normal,0.8763902699,1,0.8527929688,6.2366229876,0.6031847493,21,1456,20.7843137255,17.2549019608,5.4901960784,7.4509803922,0.5408816371,0.102125,12.5490196078,66.0918869222,0,1.0018920898,57.8701201783,0,129.2,13.471,95,27.0588235294,0,197.6,14.5037743897,32
0.508,625.75,24.21875,11.71875,24.21875,10.15625,CL - Normal,0.8677539063,1,0.8527929688,6.2366229876,0.660064013,21.0909090909,1493.8260869565,20.7843137255,17.2549019608,5.4901960784,7.4509803922,0.5670111848,0.1039184783,12.6683716965,66.1360288442,0,1.0018920898,57.8701201783,0,129.2,13.471,95,27.0588235294,0,197.6,14.5037743897,32
0.534,622.6477272727,24.21875,11.71875,24.21875,10.15625,CL - Normal,0.8661629972,1,0.8509747869,6.2366229876,0.644912243,21.5,1543,20.7843137255,17.2549019608,5.4901960784,7.4509803922,0.6009795967,0.10625,12.9411764706,66.2369246661,0,1.0018920898,57.8701201783,0,129.2,13.471,95,27.0588235294,0,197.6,14.5037743897,32
0.558,616,24.21875,11.71875,24.21875,10.15625,CL - Normal,0.8627539063,1,0.8427929688,6.2366229876,0.5767292779,21.9772727273,1411,20.7843137255,17.2549019608,5.4901960784,7.4509803922,0.5859551068,0.107125,12.268907563,66.2369246661,0,1.0018920898,57.8701201783,0,129.2,13.4924285714,95,27.0588235294,0,197.6,14.5037743897,32
